"Wickets.Lost","X0","X1","X2","X3","X4","X5","X6","X7","X8","X9"
20,1,0.968,0.926,0.867,0.788,0.682,0.544,0.375,0.21,0.083
19,0.961,0.933,0.892,0.839,0.767,0.666,0.535,0.373,0.21,0.083
18,0.922,0.896,0.859,0.811,0.742,0.65,0.527,0.369,0.21,0.083
17,0.882,0.857,0.825,0.779,0.717,0.633,0.516,0.366,0.21,0.083
16,0.841,0.818,0.79,0.747,0.691,0.613,0.504,0.362,0.208,0.083
15,0.799,0.779,0.753,0.716,0.664,0.592,0.491,0.357,0.208,0.083
14,0.754,0.737,0.714,0.68,0.634,0.569,0.477,0.352,0.208,0.083
13,0.71,0.694,0.673,0.645,0.604,0.544,0.461,0.345,0.207,0.083
12,0.664,0.65,0.633,0.606,0.571,0.519,0.443,0.336,0.205,0.083
11,0.617,0.604,0.59,0.567,0.537,0.491,0.424,0.327,0.203,0.083
10,0.567,0.558,0.544,0.527,0.5,0.461,0.403,0.316,0.201,0.083
9,0.518,0.511,0.498,0.484,0.461,0.428,0.378,0.302,0.198,0.083
8,0.466,0.459,0.451,0.438,0.42,0.394,0.352,0.286,0.193,0.083
7,0.413,0.408,0.401,0.392,0.378,0.355,0.322,0.269,0.186,0.083
6,0.359,0.355,0.35,0.343,0.332,0.314,0.29,0.246,0.178,0.081
5,0.304,0.03,0.297,0.292,0.284,0.272,0.253,0.221,0.166,0.081
4,0.246,0.244,0.242,0.239,0.233,0.224,0.212,0.189,0.148,0.08
3,0.187,0.186,0.184,0.182,0.18,0.175,0.168,0.154,0.127,0.074
2,0.127,0.125,0.125,0.124,0.124,0.12,0.117,0.11,0.097,0.065
1,0.064,0.064,0.064,0.064,0.064,0.062,0.062,0.06,0.057,0.044
0,0,0,0,0,0,0,0,0,0,0
